Filter,MSE,PSNR,SSIM,Time (s),PSNR_Rank,SSIM_Rank,MSE_Rank,Time (s)_Rank
Bilateral Filter,54.16273613823785,28.173497025346443,0.7215496210329994,0.18276500701904297,1.0,2.0,3.0,4.0
Gaussian Filter,56.61235256618924,25.15943406323464,0.6795768362042093,0.00861811637878418,3.0,4.0,5.0,2.0
Mean Filter,48.42445936414931,23.79337997266186,0.695212795073232,0.03401923179626465,4.0,3.0,2.0,3.0
Median Filter,54.243768310546876,23.581520401391558,0.6499225548386711,4.390483617782593,5.0,5.0,4.0,5.0
NLM Filter,41.14452338324653,27.8387894827899,0.8186083015991276,4.922835350036621,2.0,1.0,1.0,6.0
Noisy,93.4415520562066,20.177824782161117,0.3298767855379937,0.0,6.0,6.0,6.0,1.0
