Filter,MSE,PSNR,SSIM,Time (s)
Bilateral Filter,54.16273613823785,28.173497025346443,0.7215496210329994,0.18276500701904297
Gaussian Filter,56.61235256618924,25.15943406323464,0.6795768362042093,0.00861811637878418
Mean Filter,48.42445936414931,23.79337997266186,0.695212795073232,0.03401923179626465
Median Filter,54.243768310546876,23.581520401391558,0.6499225548386711,4.390483617782593
NLM Filter,41.14452338324653,27.8387894827899,0.8186083015991276,4.922835350036621
Noisy,93.4415520562066,20.177824782161117,0.3298767855379937,0.0
