,PSNR,SSIM,MSE,SNR,Entropy,Contrast,Sharpness,Time (s),Composite Score,Edge SSIM,Edge Average,Edge Density
Noisy,20.182201214059443,0.33017389098799393,93.42765028211805,0.689203855689503,7.65049728613987,52.196140330840485,7898.642736309801,0.0,-0.1,0.13930098392341225,0.21814379921759552,0.3522566731770833
Mean Filter,23.79533694126477,0.6952813366154507,48.41385579427083,3.544261397291164,7.421215142301131,46.34777923777159,47.34852868564906,0.0180361270904541,0.2709234043408223,0.6108690458323178,0.5893699314069628,0.04822835286458333
Gaussian Filter,25.163881165203744,0.6799753942911196,56.56882771809896,2.868186330873276,7.455510588827441,47.179297317201396,102.87458247441644,0.002994060516357422,0.3675082223490299,0.7014316576033616,0.6201158198708233,0.08871378580729167
Bilateral Filter,28.181519842232944,0.7218982017126168,54.1178271484375,3.0605546080448898,7.4822898161605,48.863050245463896,2289.252688391795,0.08981561660766602,0.48886428234765056,0.7282935104979124,0.6012370009566174,0.097781982421875
Median Filter,23.586300145913796,0.6501995196807293,54.239070366753474,3.05083574678825,7.471017668473057,47.66821739974628,121.82316107867487,7.072696208953857,0.3650646111955633,0.6280038119964207,0.5625521718361328,0.06181803385416667
NLM Filter,27.84118906348075,0.8186268712485699,41.19929863823785,4.245059891637746,7.430517461470576,47.650446798385794,1090.8847895227266,6.985621690750122,0.582421871295984,0.7148391545993353,0.6695268707421693,0.05701416015625
